geo,country_name,adoption_2018,adoption_2022,change_18_22,flag_note,change_group
MT,Malta,4.35,7.18,2.83,,top_increase
EE,Estonia,3.34,5.62,2.2800000000000002,,top_increase
DK,Denmark,9.56,11.56,2.0,,top_increase
LT,Lithuania,3.23,4.75,1.52,,top_increase
SK,Slovakia,5.42,6.71,1.29,,top_increase
HU,Hungary,3.25,3.85,0.6000000000000001,,increase
CY,Cyprus,1.23,1.65,0.41999999999999993,,increase
DE,Germany,4.96,5.24,0.28000000000000025,,increase
AT,Austria,5.18,5.39,0.20999999999999996,,increase
SI,Slovenia,6.51,6.61,0.10000000000000053,,increase
NO,Norway,3.85,3.86,0.009999999999999787,,increase
IT,Italy,8.71,8.66,-0.05000000000000071,,decrease
RO,Romania,2.63,2.54,-0.08999999999999986,,decrease
CZ,Czechia,6.04,5.89,-0.15000000000000036,,decrease
PT,Portugal,7.76,7.6,-0.16000000000000014,,decrease
FR,France,7.77,7.3,-0.46999999999999975,France 2022 carries Eurostat flag b (break in series),decrease
SE,Sweden,7.39,6.76,-0.6299999999999999,,decrease
EL,Greece,2.82,1.94,-0.8799999999999999,,decrease
BG,Bulgaria,4.45,3.31,-1.1400000000000001,,top_decrease
FI,Finland,10.35,8.94,-1.4100000000000001,,top_decrease
NL,Netherlands,7.65,6.18,-1.4700000000000006,,top_decrease
PL,Poland,6.3,4.32,-1.9799999999999995,,top_decrease
ES,Spain,10.78,8.57,-2.209999999999999,,top_decrease
