geo,country_name,adoption_2018,adoption_2020,adoption_2022,change_18_22,industrial_2018,industrial_2020,industrial_2022,service_2018,service_2020,service_2022,overlap_q3,flag_note,longitude,latitude,hub_2018,hub_2020,hub_2022,degree_2018,degree_2020,degree_2022
AT,Austria,5.18,5.54,5.39,0.20999999999999996,4.23,4.8,4.19,1.69,1.55,2.22,True,,14.55,47.52,64,36,80,2,1,1
BA,Bosnia and Herzegovina,,3.8,5.92,,,3.39,5.01,,0.65,1.34,False,,17.68,43.92,,,,,,
BE,Belgium,,9.35,10.18,,,7.86,8.11,,2.12,3.5,True,,4.47,50.5,69,119,224,2,4,5
BG,Bulgaria,4.45,5.51,3.31,-1.1400000000000001,3.13,3.92,2.64,1.85,2.14,1.14,False,,25.49,42.73,,,,,,
CY,Cyprus,1.23,2.65,1.65,0.41999999999999993,0.95,2.06,1.52,0.4,0.94,0.16,False,,33.43,35.13,,,,,,
CZ,Czechia,6.04,6.94,5.89,-0.15000000000000036,5.65,6.0,5.66,1.35,1.84,0.72,False,,15.47,49.82,,,,,,
DE,Germany,4.96,5.65,5.24,0.28000000000000025,3.29,4.18,3.85,2.07,2.12,1.89,True,,10.45,51.17,352,400,588,7,7,9
DK,Denmark,9.56,12.78,11.56,2.0,7.13,9.45,8.57,3.15,4.9,4.19,True,,9.5,56.26,0,0,27,0,0,1
EE,Estonia,3.34,3.31,5.62,2.2800000000000002,2.88,2.74,4.3,0.72,0.78,1.57,False,,25.01,58.6,,,,,,
EL,Greece,2.82,,1.94,-0.8799999999999999,1.94,,1.79,1.16,,0.27,False,,21.82,39.07,,,,,,
ES,Spain,10.78,8.81,8.57,-2.209999999999999,8.15,6.66,6.47,4.0,3.49,3.36,True,,-3.75,40.46,152,169,365,4,4,7
FI,Finland,10.35,10.26,8.94,-1.4100000000000001,8.46,7.7,6.85,2.71,3.46,3.13,False,,25.75,61.92,,,,,,
FR,France,7.77,8.1,7.3,-0.46999999999999975,5.95,6.05,6.06,2.76,2.75,1.79,True,France 2022 carries Eurostat flag b (break in series),2.21,46.23,160,219,297,3,5,5
HR,Croatia,,7.35,4.26,,,5.17,2.81,,2.99,1.7,False,,15.98,45.1,,,,,,
HU,Hungary,3.25,4.29,3.85,0.6000000000000001,2.86,3.56,3.22,0.86,1.18,1.25,False,,19.5,47.16,,,,,,
IE,Ireland,,1.71,3.53,,,0.55,2.77,,1.71,1.01,False,,-8.24,53.41,,,,,,
IT,Italy,8.71,8.79,8.66,-0.05000000000000071,6.08,6.72,6.21,3.52,3.07,4.1,True,,12.57,41.87,388,391,494,8,6,7
LT,Lithuania,3.23,4.62,4.75,1.52,2.43,3.04,3.58,1.85,2.6,1.94,False,,23.88,55.17,,,,,,
LU,Luxembourg,,5.54,4.57,,,3.93,3.24,,2.21,1.67,False,,6.13,49.82,,,,,,
LV,Latvia,,3.38,5.07,,,2.54,3.97,,0.99,2.31,False,,24.6,56.88,,,,,,
ME,Montenegro,,1.2,3.21,,,1.12,0.99,,0.49,2.39,False,,19.37,42.71,,,,,,
MK,North Macedonia,,8.13,7.29,,,2.24,3.07,,6.47,4.81,False,,21.75,41.51,,,,,,
MT,Malta,4.35,6.39,7.18,2.83,2.91,4.61,5.2,1.81,2.47,2.8,False,,14.38,35.94,,,,,,
NL,Netherlands,7.65,6.85,6.18,-1.4700000000000006,7.02,6.05,5.24,1.1,1.5,1.7,True,,5.29,52.13,104,262,302,2,6,5
NO,Norway,3.85,5.15,3.86,0.009999999999999787,3.06,3.63,2.78,1.17,1.94,1.62,False,,8.47,60.47,,,,,,
PL,Poland,6.3,7.09,4.32,-1.9799999999999995,4.87,5.87,3.66,2.27,2.25,1.19,False,,19.15,51.92,,,,,,
PT,Portugal,7.76,9.1,7.6,-0.16000000000000014,6.13,6.72,5.49,2.87,3.37,3.64,True,,-8.22,39.4,25,0,28,1,0,1
RO,Romania,2.63,3.64,2.54,-0.08999999999999986,2.29,3.29,2.23,0.88,1.49,0.86,True,,24.97,45.94,43,0,0,1,0,0
RS,Serbia,,3.36,3.25,,,2.85,2.87,,0.73,0.66,False,,21.01,44.02,,,,,,
SE,Sweden,7.39,5.68,6.76,-0.6299999999999999,6.38,4.8,5.38,1.37,1.31,2.5,True,,18.64,60.13,63,108,103,2,3,3
SI,Slovenia,6.51,8.27,6.61,0.10000000000000053,6.05,7.73,6.2,1.15,1.12,0.84,False,,14.99,46.15,,,,,,
SK,Slovakia,5.42,7.41,6.71,1.29,4.36,6.05,5.69,1.85,2.51,2.07,False,,19.7,48.67,,,,,,
TR,Turkey,,5.12,5.19,,,4.38,3.92,,0.78,1.43,True,,35.24,38.96,0,0,56,0,0,2
UK,United Kingdom,,2.2,,,,1.86,,,0.87,,False,,-3.44,55.38,,,,,,
